"                                                    Monthly Statement 2024-10"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
AAPL APPLE INC,28/10/2024,30/10/2024,BUY,0.05882,170.00,10.00,0.00,0.00,10.00

MSFT MICROSOFT CORP,28/10/2024,30/10/2024,BUY,0.02500,400.00,10.00,0.00,0.00,10.00

NVDA NVIDIA CORPORATION,21/10/2024,23/10/2024,BUY,0.07692,130.00,10.00,0.00,0.00,10.00

AMZN AMAZON COM INC,21/10/2024,23/10/2024,BUY,0.05000,200.00,10.00,0.00,0.00,10.00

GOOG ALPHABET INC,14/10/2024,16/10/2024,BUY,0.05882,170.00,10.00,0.00,0.00,10.00

META META PLATFORMS INC,14/10/2024,16/10/2024,BUY,0.01887,530.00,10.00,0.00,0.00,10.00

TSLA TESLA INC,07/10/2024,09/10/2024,BUY,0.04000,250.00,10.00,0.00,0.00,10.00

AAPL APPLE INC,07/10/2024,09/10/2024,BUY,0.05556,180.00,10.00,0.00,0.00,10.00

