"                                                    Monthly Statement 2024-11"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
NVDA NVIDIA CORPORATION,25/11/2024,27/11/2024,BUY,0.06667,150.00,10.00,0.00,0.00,10.00

MSFT MICROSOFT CORP,25/11/2024,27/11/2024,BUY,0.02381,420.00,10.00,0.00,0.00,10.00

AAPL APPLE INC,18/11/2024,20/11/2024,BUY,0.05263,190.00,10.00,0.00,0.00,10.00

AMZN AMAZON COM INC,18/11/2024,20/11/2024,BUY,0.04545,220.00,10.00,0.00,0.00,10.00

META META PLATFORMS INC,18/11/2024,20/11/2024,SELL,0.01695,590.00,10.00,-0.05,0.00,10.05

GOOG ALPHABET INC,11/11/2024,13/11/2024,BUY,0.05556,180.00,10.00,0.00,0.00,10.00

TSLA TESLA INC,11/11/2024,13/11/2024,BUY,0.03704,270.00,10.00,0.00,0.00,10.00

NVDA NVIDIA CORPORATION,04/11/2024,06/11/2024,BUY,0.07143,140.00,10.00,0.00,0.00,10.00

AAPL APPLE INC,04/11/2024,06/11/2024,BUY,0.05555,180.00,10.00,0.00,0.00,10.00

