"                                                    Monthly Statement 2025-01"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
NVDA NVIDIA CORPORATION,27/01/2025,29/01/2025,BUY,0.05263,190.00,10.00,0.00,0.00,10.00

AAPL APPLE INC,27/01/2025,29/01/2025,BUY,0.04545,220.00,10.00,0.00,0.00,10.00

AMZN AMAZON COM INC,20/01/2025,22/01/2025,BUY,0.04000,250.00,10.00,0.00,0.00,10.00

GOOG ALPHABET INC,20/01/2025,22/01/2025,BUY,0.05556,180.00,10.00,0.00,0.00,10.00

META META PLATFORMS INC,13/01/2025,15/01/2025,BUY,0.01493,670.00,10.00,0.00,0.00,10.00

MSFT MICROSOFT CORP,13/01/2025,15/01/2025,BUY,0.02128,470.00,10.00,0.00,0.00,10.00

TSLA TESLA INC,06/01/2025,08/01/2025,BUY,0.02857,350.00,10.00,0.00,0.00,10.00

NVDA NVIDIA CORPORATION,06/01/2025,08/01/2025,BUY,0.05882,170.00,10.00,0.00,0.00,10.00

