"                                                    Monthly Statement 2025-03"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
NVDA NVIDIA CORPORATION,31/03/2025,02/04/2025,BUY,0.08333,120.00,10.00,0.00,0.00,10.00

AAPL APPLE INC,31/03/2025,02/04/2025,BUY,0.05263,190.00,10.00,0.00,0.00,10.00

AMZN AMAZON COM INC,24/03/2025,26/03/2025,BUY,0.04545,220.00,10.00,0.00,0.00,10.00

MSFT MICROSOFT CORP,24/03/2025,26/03/2025,BUY,0.02500,400.00,10.00,0.00,0.00,10.00

META META PLATFORMS INC,17/03/2025,19/03/2025,BUY,0.01818,550.00,10.00,0.00,0.00,10.00

GOOG ALPHABET INC,17/03/2025,19/03/2025,BUY,0.06250,160.00,10.00,0.00,0.00,10.00

TSLA TESLA INC,10/03/2025,12/03/2025,BUY,0.04000,250.00,10.00,0.00,0.00,10.00

NVDA NVIDIA CORPORATION,10/03/2025,12/03/2025,SELL,0.07692,130.00,10.00,-0.05,0.00,10.05

AAPL APPLE INC,03/03/2025,05/03/2025,BUY,0.05882,170.00,10.00,0.00,0.00,10.00

MSFT MICROSOFT CORP,03/03/2025,05/03/2025,BUY,0.02381,420.00,10.00,0.00,0.00,10.00

