"                                                    Monthly Statement 2025-02"
"TRADE RECORDS "
Stocks
Currency: USD
Symbol & Name,Trade Date,Settlement Date,Buy/Sell,Quantity,Traded Price,Gross Amount,Comm/Fee/Tax,VAT,Net Amount
AAPL APPLE INC,24/02/2025,26/02/2025,BUY,0.04762,210.00,10.00,0.00,0.00,10.00

MSFT MICROSOFT CORP,24/02/2025,26/02/2025,BUY,0.02174,460.00,10.00,0.00,0.00,10.00

AMZN AMAZON COM INC,17/02/2025,19/02/2025,BUY,0.03846,260.00,10.00,0.00,0.00,10.00

NVDA NVIDIA CORPORATION,17/02/2025,19/02/2025,BUY,0.05556,180.00,10.00,0.00,0.00,10.00

GOOG ALPHABET INC,10/02/2025,12/02/2025,SELL,0.05263,190.00,10.00,-0.05,0.00,10.05

META META PLATFORMS INC,10/02/2025,12/02/2025,BUY,0.01408,710.00,10.00,0.00,0.00,10.00

TSLA TESLA INC,03/02/2025,05/02/2025,BUY,0.03333,300.00,10.00,0.00,0.00,10.00

AAPL APPLE INC,03/02/2025,05/02/2025,BUY,0.04545,220.00,10.00,0.00,0.00,10.00

